Code,School Name,Street,Suburb,State,Postcode,Postal Street,Postal Suburb,Postal State,Postal Postcode,Latitude,Longitude,Phone,Education Region,Broad Classification,Classification Group,Low Year,High Year,KIN,PPR,Y01,Y02,Y03,Y04,Y05,Y06,UPR,Y07,Y08,Y09,Y10,Y11,Y12,USE,Total Students
5001,ADAM ROAD PRIMARY SCHOOL,HOTCHIN STREET,SOUTH BUNBURY,WA,6230,HOTCHIN STREET,SOUTH BUNBURY,WA,6230,-33.357951,115.635371,08 9796 3000,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,53,61,64,60,54,49,60,45,,,,,,,,,446
1463,AL-AMEEN COLLEGE,57 SOUTHGATE ROAD,LANGFORD,WA,6147,57 SOUTHGATE ROAD,LANGFORD,WA,6147,-32.04605574,115.9371583,08 9458 5206,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,82,92,90,100,97,94,97,96,,83,79,66,67,48,45,,"1,136"
1397,AL-HIDAYAH ISLAMIC SCHOOL,CNR HEDLEY ST/NYAMUP WAY,BENTLEY,WA,6102,CNR HEDLEY ST/NYAMUP WAY,BENTLEY,WA,6102,-32.01035814,115.9115641,08 9351 8593,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,PPR,Y06,,32,32,30,31,28,25,24,,,,,,,,,202
8001,ALBANY COMMUNITY KINDERGARTEN,136 SERPENTINE ROAD,ALBANY,WA,6330,PO BOX 5670,ALBANY,WA,6332,-35.02145966,117.8809869,08 9841 1864,SOUTH WEST,Community Kindergartens,COMMUNITY KINDERGARTENS,KIN,KIN,29,,,,,,,,,,,,,,,,29
5002,ALBANY PRIMARY SCHOOL,SUFFOLK STREET,ALBANY,WA,6330,SUFFOLK STREET,ALBANY,WA,6330,-35.01821151,117.8916106,08 9844 2860,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,30,50,52,59,58,56,63,58,,,,,,,,,426
6151,ALBANY SECONDARY EDUCATION SUPPORT CENTRE,65 ANSON ROAD,ALBANY,WA,6330,65 ANSON ROAD,ALBANY,WA,6330,-34.99074882,117.8668674,08 9844 2550,SOUTH WEST,Education Support Centres,EDUCATION SUPPORT,Y07,Y12,,,,,,,,,,12,4,13,6,11,17,,63
4001,ALBANY SENIOR HIGH SCHOOL,1 CAMPBELL ROAD,ALBANY,WA,6330,1 CAMPBELL ROAD,ALBANY,WA,6330,-35.02044765,117.8917733,08 9841 0444,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,131,184,202,163,148,130,,958
5693,ALINJARRA PRIMARY SCHOOL,33 NORTHUMBERLAND AVENUE,ALEXANDER HEIGHTS,WA,6064,33 NORTHUMBERLAND AVENUE,ALEXANDER HEIGHTS,WA,6064,-31.82962571,115.8701402,08 9462 9950,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,52,42,46,41,34,50,52,53,,,,,,,,,370
1488,ALKIMOS BAPTIST COLLEGE,60 SEAGROVE BOULEVARD,MERRIWA,WA,6030,60 SEAGROVE BOULEVARD,MERRIWA,WA,6030,-31.66032819,115.7101785,08 9406 8189,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,18,21,21,20,11,28,16,16,,31,30,30,26,18,12,,298
5848,ALKIMOS BEACH PRIMARY SCHOOL,200 LEATHERBACK BOULEVARD,ALKIMOS,WA,6038,200 LEATHERBACK BOULEVARD,ALKIMOS,WA,6038,-31.625186,115.678659,08 9561 7200,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,111,125,105,107,86,81,81,53,,,,,,,,,749
4211,ALKIMOS COLLEGE,101 SANTORINI PROMENADE,ALKIMOS,WA,6038,101 SANTORINI PROMENADE,ALKIMOS,WA,6038,-31.629987,115.694233,08 9561 7300,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y08,,,,,,,,,,169,181,,,,,,350
5844,ALKIMOS PRIMARY SCHOOL,340 BENENDEN AVENUE,ALKIMOS,WA,6038,340 BENENDEN AVENUE,ALKIMOS,WA,6038,-31.62699105,115.7026573,08 9562 9800,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,95,93,75,86,89,84,80,82,,,,,,,,,684
1277,ALL SAINTS' COLLEGE,28 EWING AVENUE,BULL CREEK,WA,6149,28 EWING AVENUE,BULL CREEK,WA,6149,-32.04946998,115.867023,08 9313 9333,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,85,50,47,52,56,55,88,88,,127,130,147,122,149,144,,"1,340"
5006,ALLANSON PRIMARY SCHOOL,CAMERON STREET,ALLANSON,WA,6225,CAMERON STREET,ALLANSON,WA,6225,-33.33580893,116.099005,08 9735 2800,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,11,9,12,11,6,18,10,16,,,,,,,,,93
5007,ALLENDALE PRIMARY SCHOOL,52 WITTENOOM STREET,GERALDTON,WA,6530,52 WITTENOOM STREET,GERALDTON,WA,6530,-28.76430303,114.6237354,08 9923 6600,MIDWEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,42,49,50,55,43,44,48,47,,,,,,,,,378
1478,ALTA-1,12 WINTON ROAD,JOONDALUP,WA,6027,12 WINTON ROAD,JOONDALUP,WA,6027,-31.78537164,115.8133126,08 9403 8200,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y08,Y12,,,,,,,,,,,306,,,583,49,,938
1545,ALTA-1 KIMBERLEY COLLEGE,LOT 579 PACKSADDLE ROAD,KUNUNURRA,WA,6743,LOT 579 PACKSADDLE ROAD,KUNUNURRA,WA,6743,-15.795972,128.688089,UNKNOWN,KIMBERLEY,NON-GOVT SCHOOLS,NON-GOVERNMENT,,,,,,,,,,,,,,,,,,,
5008,AMAROO PRIMARY SCHOOL,79 JONES STREET,COLLIE,WA,6225,79 JONES STREET,COLLIE,WA,6225,-33.35205078,116.149663,08 9735 9400,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,38,37,37,29,41,46,37,38,,,,,,,,,303
5841,ANNE HAMERSLEY PRIMARY SCHOOL,16 DUNNETT DRIVE,ELLENBROOK,WA,6069,16 DUNNETT DRIVE,ELLENBROOK,WA,6069,-31.74539641,116.0087173,08 9297 7000,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,79,94,88,53,82,62,86,58,,,,,,,,,602
5509,ANZAC TERRACE PRIMARY SCHOOL,176 ANZAC TERRACE,BASSENDEAN,WA,6054,176 ANZAC TERRACE,BASSENDEAN,WA,6054,-31.89719261,115.9372531,08 9352 2600,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,42,38,47,49,50,47,50,36,,,,,,,,,359
5010,APPLECROSS PRIMARY SCHOOL,65 KINTAIL ROAD,APPLECROSS,WA,6153,65 KINTAIL ROAD,APPLECROSS,WA,6153,-32.01084327,115.8395984,08 6274 1850,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,60,62,76,72,93,81,73,64,,,,,,,,,581
4002,APPLECROSS SENIOR HIGH SCHOOL,LINKS ROAD,ARDROSS,WA,6153,LINKS ROAD,ARDROSS,WA,6153,-32.029376,115.83509,08 9314 9393,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,286,297,319,276,267,286,,"1,731"
1107,AQUINAS COLLEGE,58 MT HENRY ROAD,SALTER POINT,WA,6152,58 MT HENRY ROAD,SALTER POINT,WA,6152,-32.02617519,115.8617538,08 9450 0600,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,15,10,15,25,19,54,45,69,,140,172,194,190,188,172,,"1,308"
1100,ARANMORE CATHOLIC COLLEGE,41 FRANKLIN STREET,LEEDERVILLE,WA,6007,41 FRANKLIN STREET,LEEDERVILLE,WA,6007,-31.92706854,115.8431695,08 9201 5200,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,,114,97,120,115,140,114,,700
1241,ARANMORE CATHOLIC PRIMARY SCHOOL,20 BRENTHAM STREET,LEEDERVILLE,WA,6007,20 BRENTHAM STREET,LEEDERVILLE,WA,6007,-31.92790363,115.8392341,08 6318 7800,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y06,46,38,44,50,39,47,49,38,,,,,,,,,351
5792,ARBOR GROVE PRIMARY SCHOOL,BROOKMOUNT DRIVE,ELLENBROOK,WA,6069,BROOKMOUNT DRIVE,ELLENBROOK,WA,6069,-31.77105084,115.962637,08 6497 4800,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,79,86,95,88,86,98,87,96,,,,,,,,,715
5012,ARDROSS PRIMARY SCHOOL,46 LINKS ROAD,ARDROSS,WA,6153,46 LINKS ROAD,ARDROSS,WA,6153,-32.0274405,115.8346577,08 9364 2771,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,40,42,37,47,59,46,59,54,,,,,,,,,384
6050,ARMADALE EDUCATION SUPPORT CENTRE,169 SOUTH WESTERN HIGHWAY,ARMADALE,WA,6112,PO BOX 189,ARMADALE,WA,6992,-32.16152603,116.0143523,08 9497 6435,SOUTH METROPOLITAN,Education Support Centres,EDUCATION SUPPORT,Y07,Y12,,,,,,,,,,15,10,10,10,14,16,,75
5014,ARMADALE PRIMARY SCHOOL,1 CARRADINE ROAD,ARMADALE,WA,6112,1 CARRADINE ROAD,ARMADALE,WA,6112,-32.14823967,116.0264848,08 9391 4500,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,52,52,60,55,55,49,56,60,,,,,,,,,439
4003,ARMADALE SENIOR HIGH SCHOOL,169 SOUTH WESTERN HIGHWAY,ARMADALE,WA,6112,PO BOX 189,ARMADALE,WA,6992,-32.16152603,116.0143523,08 9497 6400,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,119,143,152,151,118,98,,781
5676,ASHBURTON DRIVE PRIMARY SCHOOL,6 NULLAGINE WAY,GOSNELLS,WA,6110,6 NULLAGINE WAY,GOSNELLS,WA,6110,-32.0862307,115.9841976,08 9234 6300,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,60,43,59,54,62,66,49,55,,,,,,,,,448
5786,ASHDALE PRIMARY SCHOOL,51 ASHDALE BOULEVARD,DARCH,WA,6065,51 ASHDALE BOULEVARD,DARCH,WA,6065,-31.80875751,115.8437538,08 6207 4500,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,75,90,103,94,108,114,111,130,,,,,,,,,825
4181,ASHDALE SECONDARY COLLEGE,75 WESTPORT PARADE,DARCH,WA,6065,75 WESTPORT PARADE,DARCH,WA,6065,-31.81162275,115.8414952,08 6207 1300,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,307,345,331,276,275,247,,"1,781"
5015,ASHFIELD PRIMARY SCHOOL,65 MARGARET STREET,ASHFIELD,WA,6054,65 MARGARET STREET,ASHFIELD,WA,6054,-31.91530992,115.9409018,08 6216 1300,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,13,12,14,17,6,15,12,15,,,,,,,,,104
5854,ASPIRI PRIMARY SCHOOL,30 SUNRAY AVENUE,PIARA WATERS,WA,6112,30 SUNRAY AVENUE,PIARA WATERS,WA,6112,-32.138988,115.912209,08 9397 8300,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,150,165,141,135,105,64,53,49,,,,,,,,,862
1287,ASSUMPTION CATHOLIC PRIMARY SCHOOL,22-34 GORDON ROAD,MANDURAH,WA,6210,22-34 GORDON ROAD,MANDURAH,WA,6210,-32.50994328,115.7464321,08 9583 8500,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y06,51,58,52,56,59,64,58,58,,,,,,,,,456
1519,ATLANTIS BEACH BAPTIST COLLEGE,BREAKWATER DRIVE,TWO ROCKS,WA,6037,BREAKWATER DRIVE,TWO ROCKS,WA,6037,-31.473535,115.644623,08 9544 3000,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y10,13,22,23,19,19,24,27,25,,34,24,15,17,,,,262
5016,ATTADALE PRIMARY SCHOOL,WICHMANN ROAD,ATTADALE,WA,6156,WICHMANN ROAD,ATTADALE,WA,6156,-32.02544682,115.8018145,08 6274 1700,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,40,52,53,58,53,52,45,50,,,,,,,,,403
4184,ATWELL COLLEGE,201 BRENCHLEY DRIVE,ATWELL,WA,6164,201 BRENCHLEY DRIVE,ATWELL,WA,6164,-32.14395682,115.8641462,08 6174 2200,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,186,186,303,240,256,227,,"1,398"
5765,ATWELL PRIMARY SCHOOL,160 LYDON BOULEVARD,ATWELL,WA,6164,160 LYDON BOULEVARD,ATWELL,WA,6164,-32.13527555,115.867828,08 6174 2400,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,115,114,99,92,89,91,89,96,,,,,,,,,785
5820,AUBIN GROVE PRIMARY SCHOOL,85 CAMDEN BOULEVARD,AUBIN GROVE,WA,6164,85 CAMDEN BOULEVARD,AUBIN GROVE,WA,6164,-32.17306065,115.8623522,08 6174 6500,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,117,108,144,117,142,142,142,125,,,,,,,,,"1,037"
5017,AUGUSTA PRIMARY SCHOOL,32 ALLNUTT TERRACE,AUGUSTA,WA,6290,PO BOX 106,AUGUSTA,WA,6290,-34.31671839,115.1595029,08 9781 5100,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,12,6,13,15,5,9,8,9,,,,,,,,,77
1487,AUSTIN COVE BAPTIST COLLEGE,INLET BOULEVARD,SOUTH YUNDERUP,WA,6208,INLET BOULEVARD,SOUTH YUNDERUP,WA,6208,-32.59324476,115.8065154,08 9537 7177,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,40,47,37,49,43,47,53,53,,64,58,56,50,35,42,,674
1491,AUSTRALIAN CHRISTIAN COLLEGE - DARLING DOWNS,10 NINTH ROAD,HILBERT,WA,6112,10 NINTH ROAD,HILBERT,WA,6112,-32.17468068,116.0042944,08 9391 1500,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y06,8,6,6,10,7,5,7,3,,,,,,,,,52
1438,AUSTRALIAN CHRISTIAN COLLEGE - SOUTHLANDS,26 BREWSTER ROAD,ALBANY,WA,6330,LOCKED BAG 5,ALBANY,WA,6330,-34.99550802,117.9227056,08 9892 5100,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,PPR,Y12,,20,25,21,30,24,35,36,,59,73,86,105,75,38,,627
1391,AUSTRALIAN ISLAMIC - DIANELLA,81 CLEVELAND STREET,DIANELLA,WA,6059,81 CLEVELAND STREET,DIANELLA,WA,6059,-31.90293601,115.8744467,08 9375 9770,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y10,79,86,99,105,92,97,83,82,,79,64,33,23,,,,922
1441,AUSTRALIAN ISLAMIC COLLEGE - KEWDALE,139 PRESIDENT STREET,KEWDALE,WA,6105,139 PRESIDENT STREET,KEWDALE,WA,6105,-31.97999061,115.9325273,08 9362 5340,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,70,87,83,97,114,135,134,118,,210,236,210,214,177,154,,"2,039"
1331,AUSTRALIAN ISLAMIC COLLEGE - THORNLIE,17 TONBRIDGE WAY,THORNLIE,WA,6108,17 TONBRIDGE WAY,THORNLIE,WA,6108,-32.05402507,115.9611396,08 9493 2718,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y06,69,71,60,81,55,69,76,58,,,,,,,,,539
5629,AUSTRALIND PRIMARY SCHOOL,BARNES AVENUE,AUSTRALIND,WA,6233,PO BOX A630,AUSTRALIND,WA,6233,-33.28059897,115.7271368,08 9796 3900,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,14,22,22,16,13,19,19,24,,,,,,,,,149
4146,AUSTRALIND SENIOR HIGH SCHOOL,12 BREAK O'DAY DRIVE,AUSTRALIND,WA,6233,12 BREAK O'DAY DRIVE,AUSTRALIND,WA,6233,-33.27665965,115.7284365,08 9797 4400,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,236,271,279,251,214,168,,"1,419"
5853,AVELEY NORTH PRIMARY SCHOOL,77 STRINESDALE BOULEVARDE,AVELEY,WA,6069,77 STRINESDALE BOULEVARDE,AVELEY,WA,6069,-31.778441,115.991854,08 9297 7800,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,84,105,101,99,69,48,45,40,,,,,,,,,591
5821,AVELEY PRIMARY SCHOOL,8 BOLERO ROAD,AVELEY,WA,6069,8 BOLERO ROAD,AVELEY,WA,6069,-31.79108088,115.9905586,08 9297 7350,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,79,88,72,84,76,104,100,77,,,,,,,,,680
4209,AVELEY SECONDARY COLLEGE,MAFFINA PARADE,ELLENBROOK,WA,6069,MAFFINA PARADE,ELLENBROOK,WA,6069,-31.767004,115.987559,08 6296 1000,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y10,,,,,,,,,,276,274,275,272,,,,"1,097"
6041,AVONVALE EDUCATION SUPPORT CENTRE,HUTT STREET,NORTHAM,WA,6401,PO BOX 1061,NORTHAM,WA,6401,-31.64551218,116.6613138,08 9621 5250,WHEATBELT,Education Support Centres,EDUCATION SUPPORT,PPR,Y12,,1,7,3,1,4,2,2,,4,2,1,,1,3,,31
5018,AVONVALE PRIMARY SCHOOL,HUTT STREET,NORTHAM,WA,6401,PO BOX 666,NORTHAM,WA,6401,-31.64551218,116.6613138,08 9621 5200,WHEATBELT,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,11,16,17,19,15,10,16,15,,,,,,,,,119
5020,BABAKIN PRIMARY SCHOOL,FARRAR STREET,BABAKIN,WA,6428,PO BOX 288,CORRIGIN,WA,6375,-32.12359155,118.0209226,08 9065 2400,WHEATBELT,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,1,2,,4,1,3,3,3,,,,,,,,,17
5021,BADGINGARRA PRIMARY SCHOOL,MCNAMARA ROAD,BADGINGARRA,WA,6521,C/- POST OFFICE,BADGINGARRA,WA,6521,-30.4024941,115.550545,08 9652 8900,MIDWEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,2,1,2,1,3,4,3,3,,,,,,,,,19
5022,BAKERS HILL PRIMARY SCHOOL,33 SAINT GEORGE STREET,BAKERS HILL,WA,6562,33 SAINT GEORGE STREET,BAKERS HILL,WA,6562,-31.75120467,116.4615984,08 9574 3100,WHEATBELT,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,17,15,19,19,27,25,22,24,,,,,,,,,168
5023,BALCATTA PRIMARY SCHOOL,387 MAIN STREET,BALCATTA,WA,6021,387 MAIN STREET,BALCATTA,WA,6021,-31.88093054,115.8272729,08 9253 4900,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,42,32,37,29,26,37,27,25,,,,,,,,,255
4004,BALCATTA SENIOR HIGH SCHOOL,31 POINCAIRE STREET,BALCATTA,WA,6021,31 POINCAIRE STREET,BALCATTA,WA,6021,-31.87551716,115.8122429,08 9345 8200,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,168,137,116,143,121,86,,771
5847,BALDIVIS GARDENS PRIMARY SCHOOL,NADINE PROMENADE,BALDIVIS,WA,6171,NADINE PROMENADE,BALDIVIS,WA,6171,-32.300823,115.810062,08 9523 7000,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,61,65,68,59,73,71,48,38,,,,,,,,,483
5024,BALDIVIS PRIMARY SCHOOL,214 FIFTY ROAD,BALDIVIS,WA,6171,214 FIFTY ROAD,BALDIVIS,WA,6171,-32.30718679,115.8174722,08 9523 5700,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,55,78,50,85,77,76,76,77,,,,,,,,,574
4190,BALDIVIS SECONDARY COLLEGE,STILLWATER DRIVE,BALDIVIS,WA,6171,PO BOX 4119,BALDIVIS,WA,6171,-32.334099,115.828418,08 9523 3600,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,237,215,225,347,320,285,,"1,629"
5580,BALER PRIMARY SCHOOL,BALER CLOSE,SOUTH HEDLAND,WA,6722,PO BOX 2621,SOUTH HEDLAND,WA,6722,-20.40461541,118.6124558,08 9172 8400,PILBARA,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,74,61,73,77,63,64,85,58,,,,,,,,,555
5025,BALGA PRIMARY SCHOOL,11 FERNHURST CRESCENT,BALGA,WA,6061,11 FERNHURST CRESCENT,BALGA,WA,6061,-31.86059553,115.8448001,08 9253 4500,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,37,32,15,23,16,18,24,17,,,,,,,,,182
4050,BALGA SENIOR HIGH SCHOOL,2 MARKHAM WAY,BALGA,WA,6061,2 MARKHAM WAY,BALGA,WA,6061,-31.85134146,115.8465042,08 9247 0222,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,81,89,83,131,90,92,,566
5027,BALINGUP PRIMARY SCHOOL,CNR BROCKMAN AND STEERE STS,BALINGUP,WA,6253,PO BOX 372,BALINGUP,WA,6253,-33.78633822,115.9822069,08 9782 5900,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,3,10,6,8,17,5,14,4,,,,,,,,,67
4158,BALLAJURA COMMUNITY COLLEGE,ILLAWARRA CRESCENT SOUTH,BALLAJURA,WA,6066,ILLAWARRA CRESCENT SOUTH,BALLAJURA,WA,6066,-31.84474671,115.8934345,08 9262 7777,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,178,218,193,183,210,187,,"1,169"
5702,BALLAJURA PRIMARY SCHOOL,ILLAWARRA CRESCENT SOUTH,BALLAJURA,WA,6066,ILLAWARRA CRESCENT SOUTH,BALLAJURA,WA,6066,-31.83593382,115.892303,08 9338 2200,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,77,101,86,99,105,100,92,105,,,,,,,,,765
5609,BAMBARA PRIMARY SCHOOL,30 GOSSE ROAD,PADBURY,WA,6025,30 GOSSE ROAD,PADBURY,WA,6025,-31.79830122,115.7614207,08 9307 5911,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,37,39,31,22,20,16,22,21,,,,,,,,,208
5762,BANKSIA GROVE PRIMARY SCHOOL,14 VIRIDIAN DRIVE,BANKSIA GROVE,WA,6031,14 VIRIDIAN DRIVE,BANKSIA GROVE,WA,6031,-31.70254405,115.8089621,08 9233 6333    ,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,47,56,61,59,83,72,59,57,,,,,,,,,494
1577,BANKSIA MONTESSORI SCHOOL,17 CHATTON STREET,DIANELLA,WA,6059,17 CHATTON STREET,DIANELLA,WA,6059,-31.89277585,115.8692823,08 9275 5997,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,PPR,16,3,,,,,,,,,,,,,,,19
5701,BANKSIA PARK PRIMARY SCHOOL,HICKS STREET,LEEMING,WA,6149,HICKS STREET,LEEMING,WA,6149,-32.07166263,115.8754583,08 9266 6400,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,30,34,33,33,30,36,35,36,,,,,,,,,267
5817,BANNISTER CREEK PRIMARY SCHOOL,92 PURLEY CRESCENT,LYNWOOD,WA,6147,92 PURLEY CRESCENT,LYNWOOD,WA,6147,-32.0397245,115.9285022,08 9366 0900,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,80,80,70,67,66,66,83,72,,,,,,,,,584
5030,BASSENDEAN PRIMARY SCHOOL,70 WEST ROAD,BASSENDEAN,WA,6054,70 WEST ROAD,BASSENDEAN,WA,6054,-31.90747284,115.9534451,08 6216 1400,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,59,47,44,37,33,20,47,32,,,,,,,,,319
5519,BATEMAN PRIMARY SCHOOL,2 BARTLING CRESCENT,BATEMAN,WA,6150,2 BARTLING CRESCENT,BATEMAN,WA,6150,-32.05066001,115.8453415,08 6258 6900,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,40,48,48,48,47,46,47,42,,,,,,,,,366
